chunk_size,overlap,recall@5,mrr,faithfulness,avg_retrieval_time,ingest_time
200,0,1.0,1.0,0.5,0.06234407424926758,2.548266649246216
200,10,1.0,1.0,0.5,0.06351876258850098,1.6868741512298584
200,20,1.0,1.0,0.5,0.041991233825683594,1.7453937530517578
200,30,1.0,1.0,0.5,0.03275775909423828,1.6450715065002441
256,0,1.0,1.0,0.5,0.04148292541503906,1.458446979522705
256,10,1.0,1.0,0.5,0.033191680908203125,1.4926037788391113
256,20,1.0,1.0,0.5,0.03999733924865723,1.6615872383117676
256,30,1.0,1.0,0.5,0.022515058517456055,1.5505785942077637
300,0,1.0,1.0,0.5,0.028009891510009766,1.5513248443603516
300,10,1.0,1.0,0.5,0.023000001907348633,1.4123311042785645
300,20,1.0,1.0,0.5,0.03154277801513672,1.4389498233795166
300,30,1.0,1.0,0.5,0.023253917694091797,1.5332574844360352
350,0,1.0,1.0,0.5,0.02778482437133789,1.6322948932647705
350,10,1.0,1.0,0.5,0.03762984275817871,1.4017438888549805
350,20,1.0,1.0,0.5,0.02453446388244629,1.5329196453094482
350,30,1.0,1.0,0.5,0.022001028060913086,1.5125746726989746
